==627368== NVPROF is profiling process 627368, command: ./sciara_cuda ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 16000 1000 1.0
==627368== Profiling application: ./sciara_cuda ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 16000 1000 1.0
==627368== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,us,us,us,
"GPU activities",34.677660,2.636186,112000,23.537000,17.408000,57.024000,"[CUDA memcpy DtoD]"
"GPU activities",27.696957,2.105515,16000,131.594000,124.224000,253.570000,"kernel_massBalance(int, int, double*, double*, double*, double*, double*)"
"GPU activities",23.984938,1.823329,16000,113.958000,29.280000,276.610000,"kernel_computeOutflows(int, int, double*, double*, double*, double*, double, double, double, double, double)"
"GPU activities",10.468529,0.795815,16000,49.738000,15.360000,153.121000,"kernel_computeNewTemperatureAndSolidification(int, int, double, double, double, double, double, double, double, double, double*, double*, double*, double*, double*, double*, double*, bool*)"
"GPU activities",3.164338,0.240552,16000,15.034000,14.176000,19.040000,"kernel_emitLava(int, int, int*, int*, double*, int, double, double*, double*, double*)"
"GPU activities",0.005447,0.000414,32,12.941000,4.512000,23.200000,"kernel_reduceAdd(double*, double*, int)"
"GPU activities",0.002091,0.000159,9,17.660000,4.480000,72.928000,"[CUDA memset]"
"GPU activities",0.000039,0.000003,2,1.472000,1.312000,1.632000,"[CUDA memcpy HtoD]"

==627368== Unified Memory profiling result:
"Device","Count","Avg Size","Min Size","Max Size","Total Size","Total Time",""
"NVIDIA GeForce GTX 980 (0)",16004,4.202148KB,4.000000KB,1.125000MB,65.679688MB,0.000000,"Host To Device"
"NVIDIA GeForce GTX 980 (0)",48121,21.474609KB,4.000000KB,508.000000KB,0.985550GB,0.000000,"Device To Host"
Total CPU Page faults: 16060
