==648107== NVPROF is profiling process 648107, command: ./sciara_cuda_tiled ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 16000 1000 1.0
==648107== Profiling application: ./sciara_cuda_tiled ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 16000 1000 1.0
==648107== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,us,us,ms,
"GPU activities",33.186751,2.621126,112000,23.402000,17.536000,1.058980,"[CUDA memcpy DtoD]"
"GPU activities",27.326290,2.158260,16000,134.891000,130.560000,0.145121,"kernel_massBalance_tiled(int, int, double*, double*, double*, double*, double*)"
"GPU activities",24.907285,1.967205,16000,122.950000,39.776000,0.207713,"kernel_computeOutflows_tiled(int, int, double*, double*, double*, double*, double, double, double, double, double)"
"GPU activities",11.673318,0.921971,16000,57.623000,26.368000,0.096128,"kernel_computeNewTemperatureAndSolidification_tiled(int, int, double, double, double, double, double, double, double, double, double*, double*, double*, double*, double*, double*, double*, bool*)"
"GPU activities",2.898876,0.228956,16000,14.309000,13.600000,0.036673,"kernel_emitLava_tiled(int, int, int*, int*, double*, int, double, double*, double*, double*)"
"GPU activities",0.005431,0.000429,32,13.405000,4.448000,0.023648,"kernel_reduceAdd(double*, double*, int)"
"GPU activities",0.002011,0.000159,9,17.649000,4.480000,0.073152,"[CUDA memset]"
"GPU activities",0.000037,0.000003,2,1.472000,1.312000,0.001632,"[CUDA memcpy HtoD]"

==648107== Unified Memory profiling result:
"Device","Count","Avg Size","Min Size","Max Size","Total Size","Total Time",""
"NVIDIA GeForce GTX 980 (0)",16004,4.202148KB,4.000000KB,1.125000MB,65.679688MB,0.000000,"Host To Device"
"NVIDIA GeForce GTX 980 (0)",48121,21.474609KB,4.000000KB,508.000000KB,0.985550GB,0.000000,"Device To Host"
Total CPU Page faults: 16060
