==655102== NVPROF is profiling process 655102, command: ./sciara_cuda_tiled_halo ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 16000 1000 1.0
==655102== Profiling application: ./sciara_cuda_tiled_halo ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 16000 1000 1.0
==655102== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,us,us,us,
"GPU activities",31.003037,2.613795,112000,23.337000,17.376000,89.472000,"[CUDA memcpy DtoD]"
"GPU activities",27.071696,2.282353,16000,142.647000,67.552000,312.321000,"kernel_computeOutflows_halo(int, int, double*, double*, double*, double*, double, double, double, double, double)"
"GPU activities",26.009453,2.192797,16000,137.049000,133.248000,177.888000,"kernel_massBalance_halo(int, int, double*, double*, double*, double*, double*)"
"GPU activities",13.045373,1.099826,16000,68.739000,47.040000,156.193000,"kernel_computeNewTemperatureAndSolidification_halo(int, int, double, double, double, double, double, double, double, double, double*, double*, double*, double*, double*, double*, double*, bool*)"
"GPU activities",2.863422,0.241409,16000,15.088000,14.624000,31.041000,"kernel_emitLava_halo(int, int, int*, int*, double*, int, double, double*, double*, double*)"
"GPU activities",0.005101,0.000430,32,13.439000,4.416000,23.008000,"kernel_reduceAdd(double*, double*, int)"
"GPU activities",0.001883,0.000159,9,17.635000,4.480000,72.896000,"[CUDA memset]"
"GPU activities",0.000035,0.000003,2,1.472000,1.344000,1.600000,"[CUDA memcpy HtoD]"

==655102== Unified Memory profiling result:
"Device","Count","Avg Size","Min Size","Max Size","Total Size","Total Time",""
"NVIDIA GeForce GTX 980 (0)",16004,4.202148KB,4.000000KB,1.125000MB,65.679688MB,0.000000,"Host To Device"
"NVIDIA GeForce GTX 980 (0)",48121,21.474609KB,4.000000KB,508.000000KB,0.985550GB,0.000000,"Device To Host"
Total CPU Page faults: 16060
